system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
0000000000000000117a_0000000000000000117a,1,1,2496.3086445741424,1039.6625762011497,993.7660255374441,2492.238549881088,118.32174762187063,221.5301299158712,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117b_0000000000000000117b,1,1,2482.607833005514,573.7009515359134,592.4792663706904,2477.1091901693144,207.2257574173845,239.9420871146245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117c_0000000000000000117c,1,1,2488.964113964463,2005.7707784281063,2008.1641410776385,2486.8945985498,1294.8003253244124,1302.3492650385072,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117d_0000000000000000117d,1,1,2493.8345040380013,595.1960269330519,771.1723674573078,2489.9395509519527,167.4631190191131,387.15865314136744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117e_0000000000000000117e,1,1,2491.5545292631796,681.4911070454721,707.5978765946611,2487.7148165837666,212.4491134275891,250.32802861843223,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000117f_0000000000000000117f,1,1,2493.8967353691805,872.4358547723106,963.6511943988608,2490.1376651183996,428.92875641356875,570.320572239034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001180_00000000000000001180,1,1,2493.162566302086,782.648070771842,906.7238791710221,2489.4069484585657,153.28493140155246,223.0440884182453,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001181_00000000000000001181,1,1,2492.710642539836,1050.7747894688673,1129.2984962071641,2488.7803961940594,652.8706266749815,781.0600540896429,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001182_00000000000000001182,1,1,2493.768199829963,758.6336548753856,780.7785967335096,2491.818397173465,375.2798016604501,427.9429480759045,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001183_00000000000000001183,1,1,2488.8820721109023,1349.025776218339,1381.1908349721755,2486.821637201374,720.1745453512427,864.4388744043533,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001184_00000000000000001184,1,1,2491.606009617031,1047.8427751317333,938.2229986631793,2487.816092708642,575.0731937971736,608.5183075679807,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001185_00000000000000001185,1,1,2489.891323279722,1707.7765272228264,1754.0996119114407,2486.0521586427767,1102.3250789239355,1217.4133867956582,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001186_00000000000000001186,1,1,2492.794745249689,846.9314878133064,859.41752080915,2490.8333624538964,170.9629617165738,297.35065371580833,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001187_00000000000000001187,1,1,2484.359060707727,764.1409035645228,841.9934893374252,2450.115110767997,116.51734829697395,158.05253049228796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001188_00000000000000001188,1,1,2481.364945957411,901.6197539432609,830.4227268535691,2493.895969396086,63.32266145938813,75.30890674257704,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001189_00000000000000001189,1,1,2491.0989881862633,1819.8621243676487,1682.221152593053,2489.027040961729,925.0082952569701,944.379351860826,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000118a_0000000000000000118a,1,1,2495.1379726685072,305.3236963889887,342.7923018255792,2493.2759209241426,63.62127134055997,69.87601342815705,"{""type"":""MultiPoint"",""coordinates"":[]}"
